ID,Correo,Telefono ,Puesto solicitado ,Peso_puesto,Experiencia laboral (en años),Certificaciones relevantes ,Peso_certificacion,Salario deseado,Peso_Salario
703,j.adams25@hotmail.com,4921078365, Arquitecto,31.52916191,8,Certificación en gestión de calidad (ISO 9001),1,20000,8
704,danny.brown@gmail.com,4925861074, Jefe de obra,48.89187274,10,Certificación en seguridad ocupacional (OSHA),1,25000,7
705,rjones18@yahoo.com,4923948710, Ingeniero civil,23.34567177,1,Certificación en construcción sostenible (LEED),1,35000,5
706,l.hernandez31@gmail.com,4928630741, Obrero,38.90037712,5,,0,10000,10
707,karen.baker@hotmail.com,4924591783, Gerente de proyectos,5.208730812,7,,0,30000,6
708,daniel.turner@yahoo.com,4922380974, Jefe de obra,24.58146367,9,,0,20000,8
709,catherine_lee@gmail.com,4925738410, Arquitecto,33.93319642,6,Certificación en gestión ambiental (ISO 14001),1,35000,5
710,kevin.walker23@yahoo.com,4929410853, Jefe de obra,95.60370546,4,"Certificación en gestión de calidad (ISO 9001), Certificación en seguridad ocupacional (OSHA)",2,30000,6
711,jenny.martin12@outlook.com,4920623578, Ingeniero civil,43.91604966,1,Certificación en seguridad ocupacional (OSHA),1,25000,7
712,bethany.russell@gmail.com,4923157890, Obrero,30.25935259,3,,0,40000,2
713,k.nguyen23@yahoo.com,4927289031, Gerente de proyectos,0.114281411,8,Certificación en diseño asistido por computadora (CAD),1,15000,9
714,sara.andrews@hotmail.com,4924059182, Arquitecto,47.52493126,9,Certificación en gestión de riesgos de construcción,1,35000,5
715,j.white12@gmail.com,4921098653, Ingeniero civil,71.12729404,7,,0,15000,9
716,jennifer.scott23@yahoo.com,4928195730, Obrero,65.83689757,2,,0,20000,8
717,jason.cook@gmail.com,4924870165, Jefe de obra,42.69483885,10,Certificación en construcción sostenible (LEED),1,25000,7
718,j.barnes42@hotmail.com,4926731098, Gerente de proyectos,32.73073798,6,"Certificación en diseño estructural, Certificación en seguridad ocupacional (OSHA)",2,40000,2
719,tiffany.wong@outlook.com,4925308176, Arquitecto,79.66125068,4,"Certificación en diseño asistido por computadora (CAD), Certificación en seguridad ocupacional (OSHA)",2,15000,9
720,nathan.murray@yahoo.com,4929270413, Obrero,5.748156693,5,,,,
